REG_NUMBER	NUMBER_OF_BRANCHES	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	COORDINATE_X	COORDINATE_Y	PRECISION	BRANCH_STREET_TYPE	BRANCH_STREET_NAME	BRANCH_STREET_NUMBER	BRANCH_STREET_OTHER	BRANCH_ZIP_CODE	BRANCH_TOWN	BRANCH_PROVINCE	BRANCH_COORDINATE_X	BRANCH_COORDINATE_Y	BRANCH_PRECISION
A06040919	2	CR	MADRID LISBOA N V KILOMETRO	398	NAVE 8	06008	BADAJOZ	BADAJOZ	-6.951674100	38.875686100	7	CR	MADRID LISBOA KM	398	TRASERAS DE CARRETERA DE LA CORTE	06008	BADAJOZ	BADAJOZ			
A06048698	1	LG	FINCA LOS PILONES CTRA	413		06443	CAMPILLO DE LLERENA	BADAJOZ	-5.813759400	38.525958300	21	ZO	FINCA LOS PILONES	s/n	CTRA 413	06443	CAMPILLO DE LLERENA	BADAJOZ			
A06063051	1	CL	MARIN DE RODEZNO	22		06003	BADAJOZ	BADAJOZ	-6.966881600	38.871681000	1	CL	MARIN DE RODEZNO	22		06003	BADAJOZ	BADAJOZ	-6.966882	38.871681	1
A06116115	1	CL	OBISPO SAN JUAN DE RIBERA	15	2º D 06002	06002	BADAJOZ	BADAJOZ	-6.970978400	38.877287500	4	CL	PADRE RAFAEL	2	2ºD	06002	BADAJOZ	BADAJOZ			
A06133714	1	CL	SAN JULIAN	38		06240	FUENTE DE CANTOS	BADAJOZ	-6.307557800	38.244297900	1	CL	SAN JULIAN	38		06240	FUENTE DE CANTOS	BADAJOZ			1
A06135362	1	AV	DE JUAN CARLOS I	4	1º F	06002	BADAJOZ	BADAJOZ	-6.971929500	38.877752800	1	CL	SOR AGUSTINA 6	s/n		06002	BADAJOZ	BADAJOZ			
A06182851	1	AV	AMERICA	24	2 B	06200	ALMENDRALEJO	BADAJOZ	-6.406695400	38.677934600	4	AV	AMERICA	24	2 B	06200	ALMENDRALEJO	BADAJOZ			
A06307938	1	CL	SANTO CRISTO	75		06225	RIBERA DEL FRESNO	BADAJOZ	-6.235957400	38.548309100	1	CL	SANTO CRISTO	75		06225	RIBERA DEL FRESNO	BADAJOZ			
A07002066	1	AV	ELCHE	178	2	03008	ALICANTE/ALACANT	ALICANTE	-0.534927000	38.301454000	1	AV	ELCHE	2		03008	ALICANTE/ALACANT	ALICANTE	-0.494122	38.338486	1
A07005945	1	CL	OMELADES	2	2 1	07012	PALMA	ILLES BALEARS	2.644903000	39.574323000	1	CL	UNIO	4		07001	PALMA	ILLES BALEARS	2.648063	39.571415	1
A07008998	1	AV	DE LOS PINOS	61		07580	CAPDEPERA	ILLES BALEARS				AV	DE LOS PINOS	61		07580	CAPDEPERA	ILLES BALEARS			
A07016884	1	CR	CR ES CANA KM 3	S/N		07840	SANTA EULALIA DEL RIO	ILLES BALEARS	1.541028110	38.984493789	22	CR	CR ES CANA KM 3	s/n		07840	SANTA EULALIA DEL RIO	ILLES BALEARS			
A07017007	1	CL	ANTONI MARIA ALCOVER	9		07300	INCA	ILLES BALEARS				CL	ANTONI MARIA ALCOVER	9		07300	INCA	ILLES BALEARS			
A07017965	1	CL	VELAZQUEZ	8		07002	PALMA	ILLES BALEARS	2.654458000	39.573092000	1	PL	COMTAT DEL ROSSELLO			07002	PALMA	ILLES BALEARS	2.654189	39.574463	3
A07019656	1	CL	PREDIO MONTBLANCH	SN		07519	MARIA DE LA SALUT	ILLES BALEARS	3.109338948	39.679105105	22	CL	PREDIO MONTBLANCH	SN		07519	MARIA DE LA SALUT	ILLES BALEARS			
A07022130	2	CL	VELAZQUEZ	8	, 1, PORTA DE LA DRETA	07002	PALMA DE MALLORCA	ILLES BALEARS	2.654401700	39.573201600	1	CL	SA RIERA	s/n		07003	PALMA DE MALLORCA	ILLES BALEARS			
A07022130	2	CL	VELAZQUEZ	8	, 1, PORTA DE LA DRETA	07002	PALMA DE MALLORCA	ILLES BALEARS	2.654401700	39.573201600	1	CL	VELAZQUEZ	8	1º DCHA	07002	PALMA DE MALLORCA	ILLES BALEARS			
A07022536	1	PS	DE LA HABANA	9	3º - DCHA	28036	MADRID	MADRID	-3.689454000	40.449573800	1	ML	PELAIRES S/N PUERTO DEPORTIVO	s/n		07015	PALMA DE MALLORCA	ILLES BALEARS			
A07026578	1	CL	VELAZQUEZ	8		07002	PALMA	ILLES BALEARS	2.654458000	39.573092000	1	PL	BISBE BERENGUER DE PALOU			07003	PALMA	ILLES BALEARS	2.648695	39.575597	3
A07027063	1	CL	BARON DE PINOPAR	4	PRINCIPAL	07012	PALMA DE MALLORCA	ILLES BALEARS	2.648214100	39.575366500	1	CL	BARO DE PINOPAR	4	PRINICPAL	07012	PALMA DE MALLORCA	ILLES BALEARS			
