REG_NUMBER	SUBSIDIARY_FULL_REG_NUMBER	SUBSIDIARY_COMPANY_NAME	SUBSIDIARY_LEGAL_FORM	DIRECT_INTEREST_PERCENTAGE	INDIRECT_INTEREST_PERCENTAGE	TOTAL_INTEREST_PERCENTAGE	SUBSIDIARY_TYPE	COD_ISO_2	COUNTRY
A01025741	V19934488	AIARAKO EKIAN	Economic Interest Grouping	0.00	0.00	30.00	Associate	ES	SPAIN
A01025741	A01580562	AIXEINDAR	Public Limited Company	0.00	0.00	40.00	Associate	ES	SPAIN
A01025741	B10551265	BASQUE HYDROGEN	Limited Company	0.00	0.00	24.50	Associate	ES	SPAIN
A01025741	B95296513	BILBAO EXHIBITION CENTRE SOLAR SOCIEDAD LIMITADA MEDIO PROPIO	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A01025741	B72893100	EGUZKIND	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A01025741	V01569664	EKIAN FOTOVOLTAICA	Economic Interest Grouping	0.00	0.00	4.16	Does not inform	ES	SPAIN
A01025741	B01582394	EKIENEA	Limited Company	0.00	0.00	18.00	Associate	ES	SPAIN
A01025741	B02935443	EKIOLA ENERGIA SUSTAPENAK	Limited Company	0.00	0.00	25.00	Associate	ES	SPAIN
A01025741	F20859807	INDARBERRI	Cooperative	0.00	0.00	25.00	Associate	ES	SPAIN
A01025741	B67790881	MEDUSA ALTERNATIVAS DE SUMINISTRO ELECTRICO	Limited Company	0.00	0.00	49.90	Associate	ES	SPAIN
A01025741		METABERN, S.A.		0.00	0.00	25.00	Associate	ES	SPAIN
A01025741	B56949597	ZURBEROA ENERGIA	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A03124864	A03934353	BENMAR HOTELES	Public Limited Company	0.00	0.00	80.82	Dependent	ES	SPAIN
A03124864	B97389209	INVERSIONES HOTELERAS CARIBEÑAS	Limited Company	0.00	0.00	62.46	Dependent	ES	SPAIN
A03124864		PROMOCIONES TURISTICAS AMATORIO, SA		0.00	0.00	42.44	Associate	ES	SPAIN
A03324035	B03022704	OASIS	Limited Company	0.00	0.00	79.48	Dependent	ES	SPAIN
A07040223	B16163438	ALZA OBRAS Y SERVICIOS	Limited Company	100.00	0.00	100.00	Dependent		
A07040223	B84448000	ALZA PARQUE TECNOLOGICO	Limited Company	100.00	0.00	100.00	Dependent		
A07040223	B86523065	CARIBBEAN RESORT AND GOLF	Limited Company	10.00	0.00	10.00	Associate		
A07040223	B16103889	DULCINEA 2015 REAL ESTATE	Limited Company	91.62	0.00	91.62	Dependent		
A07040223	B19209634	NYOS GESTION INMOBILIARIA	Limited Company	99.99	0.00	99.99	Dependent		
A07040223	B62425483	RICART PARC CENTRAL	Limited Company	100.00	0.00	100.00	Dependent		
A07040223	A08049793	URBAS GRUPO FINANCIERO	Public Limited Company	13.25	0.00	13.25	Associate		
A08047722	A59107565	QUASAR SEGURIDAD	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08066045	A08642142	AXIOMA SOLUCIONS INTEGRALS I SERVEIS DE SUPORT SANITARI	Public Limited Company	0.00	0.00	0.66	Does not inform	ES	SPAIN
A08066045	A08383283	EGARMATIC	Public Limited Company	0.00	0.00	99.90	Dependent	ES	SPAIN
A08066045	V64026768	EGARSERVER	Economic Interest Grouping	0.00	0.00	3.85	Does not inform	ES	SPAIN
A08066045	A58357781	INMOBILIARIA GARCIA HUMET	Public Limited Company	0.00	0.00	35.00	Associate	ES	SPAIN
A08066045	A08363137	INMOBILIARIA LA CARTUJA	Public Limited Company	0.00	0.00	25.92	Associate	ES	SPAIN
A08066045	A78034162	TOP ASSESSORAMENT I GESTIO CORREDORIA D'ASSEGURANCES	Public Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A08118135	B58683608	MERSON	Limited Company	0.00	0.00	41.66	Associate	ES	SPAIN
A08118135	A08132029	TAMARIT	Public Limited Company	0.00	0.00	19.18	Does not inform	ES	SPAIN
A08138737	A59920330	CONTROL Y MONTAJES INDUSTRIALES CYMI	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08138737		CONTROL Y MONTAJES INDUSTRIALES DE MEJICO S.A. DE C.V.		99.99	0.00	99.99	Dependent	MX	MEXICO
A08138737	B88515630	CYMI BRASIL	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08138737		DRAGADOS NETHERLANDS BV		100.00	0.00	100.00	Dependent	NL	NETHERLANDS
A08138737	A78109402	DRAGADOS OFFSHORE	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08138737	A84105220	INITEC ENERGIA	Public Limited Company	66.66	0.00	66.66	Dependent	ES	SPAIN
A08138737	A79036851	INTECSA INGENIERIA INDUSTRIAL	Public Limited Company	99.99	0.00	99.99	Dependent	ES	SPAIN
A08138737	A28232825	MAKIBER	Public Limited Company	99.99	0.00	99.99	Dependent	ES	SPAIN
A08138737	A08432338	MANTENIMIENTO Y MONTAJES INDUSTRIALES	Public Limited Company	99.99	0.00	99.99	Dependent	ES	SPAIN
A08138737	A58351180	MASA SERVICIOS	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08138737	A82804170	SICE TECNOLOGIA Y SISTEMAS	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08168155	A25005620	BAQUEIRA BERET	Public Limited Company	5.84	0.00	5.84	Does not inform	ES	SPAIN
A08168155	A08168064	GRUPO CATALANA OCCIDENTE	Public Limited Company	25.51	0.00	25.51	Associate	ES	SPAIN
A08183162		RDM MARKETING PORTUGAL		100.00	0.00	100.00	Dependent		
A08183162	A08520629	RDM PAPRINSA	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08183162		RECOGIDA DE PAPEL A.I.E.		50.00	0.00	50.00	Associate	ES	SPAIN
A08185050	A31078470	COMPLEMENTOS DE PIENSOS COMPUESTOS	Public Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A08285967	B62531090	GERMANS FISAS BOSCH	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A08321317	A87485892	FFS EQUIPOS URBANOS	Public Limited Company	20.01	0.00	20.01	Associate	ES	SPAIN
A08321317	B19909274	MAGIC PLASTIC GROUP	Limited Company	66.66	0.00	66.66	Dependent	ES	SPAIN
A08321317	B63977433	PROM DORADA	Limited Company	35.00	0.00	35.00	Associate	ES	SPAIN
A08321317	B61142675	RAFRANU	Limited Company	36.92	0.00	36.92	Associate	ES	SPAIN
A08321317	B96305743	ROTO TANK	Limited Company	50.00	0.00	50.00	Associate	ES	SPAIN
A08321317	B05429600	ROTO TANK SERVICES	Limited Company	50.00	0.00	50.00	Associate	ES	SPAIN
A08321317	A72586738	SCOOBIC WASTE	Public Limited Company	88.52	0.00	88.52	Dependent	ES	SPAIN
A08321317	B64539349	SEÑAL CONFOR	Limited Company	67.71	0.00	67.71	Associate	ES	SPAIN
A08321317	B63134746	UKSIN PROMOCIONS	Limited Company	30.00	0.00	30.00	Associate	ES	SPAIN
A08321317	B62338900	URBAN GRAVITY	Limited Company	33.33	0.00	33.33	Associate	ES	SPAIN
A08348740	A58341488	DELFORCA 2008	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08483257	B60491958	INVERSIONES OLIANA	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08483257	A28356392	INVERSIONES TEIDE SICAV	Public Limited Company	0.00	0.00	9.89	Associate	ES	SPAIN
A08483257	A58435595	TITLEIST	Public Limited Company	50.00	0.00	50.00	Associate	ES	SPAIN
A08539165	A60175916	IMPRESSIONS INTERCOMARCALS	Public Limited Company	18.41	0.00	18.41	Does not inform	ES	SPAIN
A08539165	B62690730	VIDERE CAT	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08678823		ADMEO INC. - 463211665		49.00	0.00	49.00	Associate	US	UNITED STATES
A08678823		BDPL CIENTIFICA - REAGENTES E INSTRUMENTOS, UNIPESSOAL LDA - 504527584		100.00	0.00	100.00	Dependent	PT	PORTUGAL
A08678823		BIO SIMEX S.A. DE C.V. - BSS0711209Z8		98.00	0.00	98.00	Dependent	MX	MEXICO
A08678823		BIOSYSTEMS (THAILAND) CO. LTD. - 0105561124284		49.00	0.00	49.00	Associate	TH	THAILAND
A08678823		BIOSYSTEMS - 828473363		100.00	0.00	100.00	Dependent	FR	FRANCE
A08678823		BIOSYSTEMS ANALYTICAL SOLUTIONS SRL - 10742600967		100.00	0.00	100.00	Dependent	IT	ITALY
A08678823		BIOSYSTEMS ARGENTINA, S.A.U. - 30716006618		100.00	0.00	100.00	Dependent	AR	ARGENTINA
A08678823	B72769151	BIOSYSTEMS BIOTECH SPAIN	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A08678823		BIOSYSTEMS DIAGNOSTIC PRIVATED LIMITED - U29297TN2003PTC051492		50.00	0.00	50.00	Associate	IN	INDIA
A08678823		BIOSYSTEMS DIAGNOSTICS SPA. - 761633465		100.00	0.00	100.00	Dependent	CL	CHILE
A08678823		BIOSYSTEMS DIAGNOSTIK VE ANALITIK LABORATUVAR URUNIERI  TIC. LTD. STI - 1680506739		100.00	0.00	100.00	Dependent	TR	TURKEY
A08678823		BIOSYSTEMS KOREA COMPANY - 1208743847		100.00	0.00	100.00	Dependent		
A08678823		BIOSYSTEMS NE, COMERCIO PRODUTOS LABORATORIAIS E HOSPITALARES LTDA - 08282077000103		50.00	0.00	50.00	Associate	BR	BRAZIL
A08678823		BIOSYSTEMS REAGENTS & INSTRUMENTS INC. - 008090849000		100.00	0.00	100.00	Dependent	PH	PHILIPPINES
A08678823		GINPER BIOSYSTEMS EGYPT FOR LAB		99.00	0.00	99.00	Dependent	EG	EGYPT
A08678823		LUDMIRA DX - 9008866441		10.00	0.00	10.00	Does not inform	CO	COLOMBIA
A08678823		SC BIOSYSTEMS DIAGNOSTICS S.R.L. - RO17167080		100.00	0.00	100.00	Dependent	RO	ROMANIA
A08678823		SHANGHAI BIOSYSTEMS BIOTECHNOLOGY CO., LTD - 91310000MA7FM7707K		100.00	0.00	100.00	Dependent	CN	CHINA
A09019936	B09570391	ADURIZ DISTRIBUCION	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A09019936	B09378720	ADURIZ ENERGIA	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A09019936	A82344201	LEALTAD 2000 SICAV	Public Limited Company	0.00	0.00	99.93	Dependent	ES	SPAIN
A09272220	A33701657	INMOBILIARIA PARQUE RAICES	Public Limited Company	0.00	0.00	1.00	Does not inform	ES	SPAIN
A09272220	B33019753	INVERCAL PROCON	Limited Company	51.28	0.00	51.28	Dependent	ES	SPAIN
A09272220	A33017757	TRANSFORMADOS EDIPAR	Public Limited Company	0.00	0.00	1.00	Does not inform	ES	SPAIN
A12054839	B12651972	DESARROLLO DE RECURSOS AGRARIOS	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A12200598	A12429338	HOLIDAY MAGIC HOTEL	Public Limited Company	34.04	0.00	34.04	Associate	ES	SPAIN
A14027635		CORDOGARVE-SGPS. S.A.		100.00	0.00	100.00	Dependent	PT	PORTUGAL
A14027635	A29020682	HITOS URBANOS	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A14027635	B14556286	INICIATIVAS Y PROYECTOS 21	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A14027635	B53284972	NUEVO SECTOR P P I 2 BENALUA SUR	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A14027635	B14593842	PRASA ANDALUCIA OCCIDENTAL	Limited Company	55.12	0.00	55.12	Dependent	ES	SPAIN
A14027635	B14731111	PRASA EUROPEAN HOLDING	Limited Company	38.30	0.00	38.30	Associate	ES	SPAIN
A14027635	A14457675	PROMOTORA INMOBILIARIA PRASUR	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A14027635		UTE  GRUPO P.R.A., S.A. Y COLON DE PROMOCIONES TECNICAS INMOBILIARIAS, S.L., UNION TEMPORAL DE EMPRESAS LEY 18/1982  (UTE PRASA-COPROTEIN)		0.00	0.00	50.00	Associate		
A17123696	A08650020	INMOBILIARIA PRECIADOS 27	Public Limited Company	28.43	0.00	28.43	Associate	ES	SPAIN
A18042267	A53733382	URBANIZACIONES Y RESIDENCIAS TROPICALES	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A18079178	B18493098	AZAHARES DE SIERRA NEVADA	Limited Company	0.00	0.00	33.33	Associate	ES	SPAIN
A18079178	B18850636	LAXE 2007	Limited Company	0.00	0.00	25.00	Associate	ES	SPAIN
A18079178	B29714672	PROMOCIONES SUAREZ 95	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A18079178	B18733774	REDONDELA 2005	Limited Company	0.00	0.00	33.33	Associate	ES	SPAIN
A20095485		E.S.ALEGIA, S.L.U.		100.00	0.00	100.00	Dependent	ES	SPAIN
A20095485	B20096632	IÑURRITZA	Limited Company	99.94	0.00	99.94	Dependent	ES	SPAIN
A21009279		FM, S.L.		15.48	0.00	15.48	Does not inform	ES	SPAIN
A21009279	A28321941	GARCIBRAVO	Public Limited Company	4.60	0.00	4.60	Does not inform	ES	SPAIN
A22106215	B22164081	AGROPECUARIA MOVI	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A22106215	A22028179	BETELA	Public Limited Company	22.58	0.00	22.58	Associate	ES	SPAIN
A22106215	B22351159	BINACARNES	Limited Company	12.96	0.00	12.96	Associate	ES	SPAIN
A22106215	A22011514	BINAGA	Public Limited Company	6.67	0.00	6.67	Associate	ES	SPAIN
A24010381	B24436065	AGLOMERADOS LEON	Limited Company	73.86	0.00	73.86	Dependent	ES	SPAIN
A24213274	A47563952	CENTRAL BINGO INTERCONEXIONADO CASTILLA Y LEON	Public Limited Company	0.00	0.00	0.00	Does not inform	ES	SPAIN
A24354581	A35849249	RECAMBIOS RAF CANARIAS	Public Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A24354581	A24568537	RECAMBIOS RAF CATALUNYA	Public Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A24354581	A24532715	RECAMBIOS RAF GALICIA	Public Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A24354581		RECAMBIOS RAF PORTUGAL LDA - PT509207383		0.00	0.00	50.00	Associate	PT	PORTUGAL
A24354581	B24686263	RECAMBIOS RAF VALLADOLID	Limited Company	0.00	0.00	1.66	Does not inform	ES	SPAIN
A25035379	A08858284	ARANESA DE RADIO I TELEVISIO	Public Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A26259093	B26414763	CLUB DE GOLF EL BURGO DE OSMA	Limited Company	8.66	0.00	8.66	Multigroup	ES	SPAIN
A26259093	B26414771	PROMOTORA EL ENEBRAL DE OSMA	Limited Company	8.67	0.00	8.67	Multigroup	ES	SPAIN
A26259093	B26301119	RIOJA ALTA GOLF CLUB	Limited Company	9.62	0.00	9.62	Multigroup	ES	SPAIN
A28020394		ANTIGUO HOTEL EUROPA		0.71	0.00	0.71	Does not inform		
A28020394	A44698249	CAAN ALTERNATIVE ASSET MANAGEMENT SGIIC	Public Limited Company	11.58	0.00	11.58	Does not inform	ES	SPAIN
A28020394	A82616293	ENERGIA RENOVABLE PENINSULAR	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28020394	A46590220	INMOBILIARIA ASTRA	Public Limited Company	0.04	0.00	0.04	Does not inform	ES	SPAIN
A28020394	B76103894	MARINA ELITE	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28020394	B83483362	MERIDIONAL RESIDENCIAL ANDALUCIA	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28020394	A78210085	METAGESTION SOCIEDAD DE GESTION DE INSTITUCIONES DE INVERSION COLECTIVA	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28020394	B35711480	METAINVERSION MADRID	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28020394		METAMBIENTE BRASIL		0.06	0.00	0.06	Does not inform		
A28020394	A28294700	MONTEBALITO	Public Limited Company	44.28	0.00	44.28	Associate	ES	SPAIN
A28020394	A84779941	MTB REN	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28020394	A28514024	PROMOHOGAR	Public Limited Company	40.00	0.00	40.00	Associate	ES	SPAIN
A28104347		EDICIONES MUSICALES WARNER BROS, S.A.		100.00	0.00	100.00	Dependent		
A28104347		WARNER / CHAPPELL MUSIC PORTUGAL, S.L.		100.00	0.00	100.00	Dependent		
A28165314		BARDAHL DE MEXICO, S.A. DE C.V.		0.00	0.00	49.00	Associate	MX	MEXICO
A28165314		CAMPSARED		0.00	0.00	0.00	Does not inform	ES	SPAIN
A28165314		CI REPSOL DOWNSTREAM COLOMBIA SAS		0.00	0.00	100.00	Dependent	CO	COLOMBIA
A28165314		ENDOMEXICANA RENTA Y SERVICIOS, S.A. DE C.V.		0.00	0.00	40.00	Associate	MX	MEXICO
A28165314		PACIFIC LUBRITAMA INDONESIA		0.00	0.00	39.00	Associate		
A28165314	A28076420	REPSOL BUTANO	Public Limited Company	0.00	0.00	0.00	Does not inform	ES	SPAIN
A28165314		REPSOL DOWNSTREAM MEXICO, S.A. DE C.V.		0.00	0.00	99.00	Dependent	MX	MEXICO
A28165314		REPSOL LUBRIFICANTES E ESPECIALIDADES BRAZIL LTDA.		0.00	0.00	100.00	Dependent	BR	BRAZIL
A28165314		REPSOL MARKETING FRANCE, S.A.S.U.		0.00	0.00	100.00	Dependent	FR	FRANCE
A28165314		REPSOL PORTUGUESA, S.A.		0.00	0.00	100.00	Dependent	PT	PORTUGAL
A28165314		REPSOL SERVICES MEXICO,S.A. DE C.V.		0.00	0.00	100.00	Dependent	MX	MEXICO
A28165314		UNITED OIL COMPANY PTE.LTD.		0.00	0.00	40.00	Associate	SG	SINGAPORE
A28180719	A28481349	DISAZ	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28180719	A28128221	INMOBILIARIA DIEZSA	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28275097	B87480992	SWANLAAB PARTNERS	Limited Company	0.00	0.00	0.00	Does not inform	ES	SPAIN
A28287092	B85294668	AC HOTEL PUERTOLLANO	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28287092	A28489771	AYOZARES	Public Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28287092	B86370012	B SOLIS PROYECTOS INTERNACIONALES	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A28287092	A58439258	COFIVASA	Public Limited Company	0.00	0.00	99.99	Dependent	ES	SPAIN
A28287092	B78240272	FLORECIDA	Limited Company	0.00	0.00	99.76	Dependent	ES	SPAIN
A28287092	B83516351	GESTION Y PROMOCION DE ARRENDAMIENTOS VISTAHERMOSA	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A28287092	B84093053	GESTORA BRUNETE NORTE	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28287092	B85410587	GESTORA PLAN HOGAR 2008	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28287092	B92454149	GOLF EL OLIVAR DE MARBELLA	Limited Company	0.00	0.00	88.37	Dependent	ES	SPAIN
A28287092	A28146579	INMOBILIARIA DE VISTAHERMOSA	Public Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A28287092		INTERDESA		0.00	0.00	99.99	Dependent		
A28287092	B83013896	LAXZU INVESTMENT	Limited Company	0.00	0.00	75.02	Dependent	ES	SPAIN
A28287092		LOTE RT SRL		0.00	0.00	24.80	Associate	MX	MEXICO
A28287092	A78810488	MAGALAR	Public Limited Company	0.00	0.00	99.23	Dependent	ES	SPAIN
A28287092	B28522019	MECAFER	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28287092	A78160561	MONTANILLA	Public Limited Company	0.00	0.00	51.17	Dependent	ES	SPAIN
A28287092	A78240249	POLINAR	Public Limited Company	0.00	0.00	56.98	Dependent	ES	SPAIN
A28287092	B83385294	PROMOCIONES DEPORTIVAS Y SALUD ARAVACA	Limited Company	0.00	0.00	20.58	Associate	ES	SPAIN
A28287092	B81981987	PROMOCIONES VISTARGA	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A28287092	A28394765	PROMOCIONES YESERIAS	Public Limited Company	0.00	0.00	27.63	Associate	ES	SPAIN
A28287092	A83247940	PUNCTUM MILLENIUM	Public Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28287092	B80872526	RESIDENCIAL AZUCENA	Limited Company	0.00	0.00	45.00	Associate	ES	SPAIN
A28287092		ROCHAFOZ-SOCIEDADE PROM. INM		0.00	0.00	35.33	Associate	PT	PORTUGAL
A28287092	B45393741	SAMTHOMPSON	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28287092	A82401712	SOLISGAR 2000	Public Limited Company	0.00	0.00	78.20	Dependent	ES	SPAIN
A28287092	A83712380	SUR 9 PUNCTUM MILLENIUM	Public Limited Company	0.00	0.00	26.80	Associate	ES	SPAIN
A28287092	B83168898	TOLEDO NORTE S 21	Limited Company	0.00	0.00	74.36	Dependent	ES	SPAIN
A28329555	A78440062	CLUB INTERNACIONAL DEL LIBRO DIVISION CREDITO	Public Limited Company	0.00	0.00	0.01	Does not inform		
A28329555	A28442291	DE PROMOCION Y EDICIONES	Public Limited Company	0.00	0.00	99.99	Dependent		
A28329555	B84634443	FINMARK MARKETING TELEFONICO	Limited Company	0.00	0.00	1.00	Does not inform		
A28329555	B66207309	QOL22	Limited Company	0.00	0.00	0.03	Does not inform		
A28349181	B08505943	CALTUSA	Limited Company	0.00	0.00	22.22	Associate	ES	SPAIN
A28349181	B08504839	DOLFER	Limited Company	0.00	0.00	32.93	Associate	ES	SPAIN
A28349181	A08252009	EDIFICIOS PATRIMONIALES	Public Limited Company	0.00	0.00	24.96	Associate	ES	SPAIN
A28349181	B63485395	LULUSAK	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28349181	A44001832	MINAR	Public Limited Company	0.00	0.00	16.66	Does not inform	ES	SPAIN
A28349181	A62789102	ROCA CORPORACION EMPRESARIAL	Public Limited Company	0.00	0.00	25.91	Associate	ES	SPAIN
A28349181	B08473530	TICASA	Limited Company	0.00	0.00	5.51	Does not inform	ES	SPAIN
A28349181	B08504847	VELASTE	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
A28354132	A62044110	GLOBALGRAFIXNET	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28354132	B01620392	SCYTL ELECTION TECHNOLOGIES	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28394088		AGUA NEGRA S.A.		1.70	0.00	1.70	Does not inform	AR	ARGENTINA
A28394088		DISTRIBUIDORA ELECTRICA DE CARIBE, S.A.		100.00	0.00	100.00	Dependent	PA	PANAMA
A28394088		GAS SUR S.A.		0.03	0.00	0.03	Does not inform	CL	CHILE
A28394088		GASCART S.A.		0.78	0.00	0.78	Does not inform	AR	ARGENTINA
A28394088		GN HOLDING ARGENTINA, S.A.		0.01	0.00	0.01	Does not inform	CL	CHILE
A28394088		INVERSIONES HERMILL, S.A.		100.00	0.00	100.00	Dependent	DO	DOMINICAN REPUBLIC
A28394088		NATURGY ARGENTINA GAS Y ELECTRICIDAD, S.A.		99.99	0.00	99.99	Dependent	CL	CHILE
A28394088		NATURGY CHILE GAS NATURAL, S.A.		92.33	0.00	92.33	Dependent	CL	CHILE
A28394088	B82561556	NATURGY ELECTRICIDAD COLOMBIA	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A28394088		NATURGY SERVICES, S.A.		100.00	0.00	100.00	Dependent	PA	PANAMA
A28451284		BANCO BBVA ARGENTINA, S.A.		0.41	0.00	0.41	Does not inform	AR	ARGENTINA
A28451284	A48265169	BANCO BILBAO VIZCAYA ARGENTARIA	Public Limited Company	0.10	0.00	0.10	Does not inform	ES	SPAIN
A28451284	A28137958	BANCO OCCIDENTAL	Public Limited Company	50.57	0.00	50.57	Dependent	ES	SPAIN
A28451284	B86931649	BBVA MERCHANT SOLUTIONS, E.P	Limited Company	0.00	0.00	0.00	Does not inform	ES	SPAIN
A28451284		BBVA SEGUROS COLOMBIA, S.A.		6.00	0.00	6.00	Does not inform	CO	COLOMBIA
A28451284		BBVA SEGUROS DE VIDA COLOMBIA, S.A.		6.00	0.00	6.00	Does not inform	CO	COLOMBIA
A28451284	B48914584	CONTENTS AREA	Limited Company	0.00	0.00	0.00	Does not inform	ES	SPAIN
A28451284	A48568240	GUP GESTION UNIFICADA DE PROYECTOS	Public Limited Company	45.00	0.00	45.00	Associate	ES	SPAIN
A29901428	A29900032	COMPAÑIA MELILLENSE DE GAS Y ELECTRICIDAD	Public Limited Company	99.99	0.00	99.99	Dependent	ES	SPAIN
A31206121	F05012471	COMERCIALIZADORA DE VACUNO SELECTO AVILEÑO NEGRO	European Cooperative Society	0.00	0.00	0.00	Does not inform	ES	SPAIN
A31206121		SAT VACUNO AVILEÑO DE CALIDAD Nº 9791		0.00	0.00	0.00	Does not inform		
A33017757	A33701657	INMOBILIARIA PARQUE RAICES	Public Limited Company	99.93	0.00	99.93	Dependent	ES	SPAIN
A33084575	A74066051	INGENIERIA PRESVAC	Public Limited Company	0.00	0.00	99.00	Dependent	ES	SPAIN
A33085838		ENERFON 1 SPA - 765323452		100.00	0.00	100.00	Dependent	CL	CHILE
A33085838		ENERTRON ENERGIA Y GENERACION LTDA. - 768565503		60.00	0.00	60.00	Dependent	CL	CHILE
A33085838	B88177340	INDIGO EL RETORNO	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A33085838	A74215898	NUEVAS ENERGIAS ANDINAS	Public Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A33126244		UTE MECANIZACIONES CARBONIFERAS Y SERVICIOS, S.A.Y S.A. PARA TRABAJOS SUBTERRANEOS, UNION TEMPORAL DE EMPRESAS		0.00	0.00	20.00	Associate		
A33126244		UTE S.A. PARA TRABAJOS SUBTERRANEOS Y MECANIZACIONES CARBONIFERAS Y SERVICIOS S.A.		0.00	0.00	70.00	Dependent		
A35444298	V76160845	AGUAS DE MELONERAS	Economic Interest Grouping	5.00	0.00	5.00	Does not inform	ES	SPAIN
A35444298		BT BETEILINGUNS TREUHAND GMBH		100.00	0.00	100.00	Dependent	DE	GERMANY
A35444298	A35013523	CREATIV HOTEL BUENAVENTURA	Public Limited Company	85.42	0.00	85.42	Dependent	ES	SPAIN
A35444298		GRUPO LS INVEST A.G.		89.84	0.00	89.84	Dependent	DE	GERMANY
A35444298	B70639323	IBERIA SIGLO XXI	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A35444298	B75697425	LOPESAN ATLANTES RESORT	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
A35444298	B35842269	LOPESAN SATOCAN INVESTMENT	Limited Company	50.00	0.00	50.00	Associate	ES	SPAIN
A36907798		INTERCEMENT BRASIL, S.A.		0.00	0.00	0.00	Does not inform	BR	BRAZIL
A36907798	B27882059	INTERCEMENT TRADING E INVERSIONES ARGENTINA	Limited Company	0.00	0.00	0.00	Does not inform	ES	SPAIN
A41380007		SOCIEDAD FRANCESA DE BENEF		24.99	0.00	24.99	Associate		
A42017434	B42217406	EDITORA DE PRENSA SORIANA	Limited Company	50.00	0.00	50.00	Associate	ES	SPAIN
A42168294	B42203414	BIOCOMBUSTIBLES FORESTALES	Limited Company	0.00	0.00	32.89	Associate	ES	SPAIN
A42168294	B42206516	HUERTOS DE SORIA	Limited Company	0.00	0.00	29.59	Associate	ES	SPAIN
